year,mon,day,tmax (degF),tmin (degF),precip (in),snow (in),snowcover (in)
1897,5,15,75,55,0,-998,-998
1897,5,16,76,57,0,-998,-998
1897,5,17,76,53,0,-998,-998
1897,5,18,76,57,0,-998,-998
1897,5,19,69,54,0.35,-998,-998
1897,5,20,67,53,0,-998,-998
1897,5,21,69,52,0,-998,-998
1897,5,22,72,54,0.02,-998,-998
1897,5,23,70,56,0,-998,-998
1897,5,24,70,53,0.17,-998,-998
1897,5,25,78,56,0,-998,-998
1897,5,26,76,58,0,-998,-998
1897,5,27,52,46,1.36,-998,-998
1897,5,28,66,43,0,-998,-998
1897,5,29,74,56,0,-998,-998
1897,5,30,72,52,0.09,-998,-998
1897,5,31,78,56,0.03,-998,-998
1897,6,1,66,56,0.09,-998,-998
1897,6,2,57,45,0.66,-998,-998
1897,6,3,60,41,0.07,-998,-998
1897,6,4,61,43,0.03,-998,-998
1897,6,5,60,48,0.43,-998,-998
1897,6,6,62,44,0.1,-998,-998
1897,6,7,69,49,0.02,-998,-998
1897,6,8,79,51,0,-998,-998
1897,6,9,76,52,0.02,-998,-998
1897,6,10,72,57,2.03,-998,-998
1897,6,11,68,52,0,-998,-998
1897,6,12,78,60,0,-998,-998
1897,6,13,77,63,0,-998,-998
1897,6,14,78,59,0,-998,-998
1897,6,15,83,60,0,-998,-998
1897,6,16,73,63,0,-998,-998
1897,6,17,74,54,0,-998,-998
1897,6,18,71,51,0,-998,-998
1897,6,19,77,55,0,-998,-998
1897,6,20,85,61,0,-998,-998
1897,6,21,84,64,0,-998,-998
1897,6,22,85,65,0,-998,-998
1897,6,23,84,64,0,-998,-998
1897,6,24,76,58,0,-998,-998
1897,6,25,71,55,0.06,-998,-998
1897,6,26,73,55,0.08,-998,-998
1897,6,27,83,57,0,-998,-998
1897,6,28,79,62,0.01,-998,-998
1897,6,29,77,57,0.11,-998,-998
1897,6,30,83,57,0,-998,-998
1897,7,1,88,57,0,-998,-998
1897,7,2,85,64,0,-998,-998
1897,7,3,70,58,0,-998,-998
1897,7,4,72,50,0,-998,-998
1897,7,5,88,56,0,-998,-998
1897,7,6,86,61,0,-998,-998
1897,7,7,90,70,0,-998,-998
1897,7,8,86,65,0.43,-998,-998
1897,7,9,63,55,1.17,-998,-998
1897,7,10,70,50,0.27,-998,-998
1897,7,11,78,58,0,-998,-998
1897,7,12,86,60,0,-998,-998
1897,7,13,90,62,0,-998,-998
1897,7,14,79,61,0.1,-998,-998
1897,7,15,81,59,0.01,-998,-998
1897,7,16,85,62,0,-998,-998
1897,7,17,81,63,0.08,-998,-998
1897,7,18,73,57,0.11,-998,-998
1897,7,19,67,48,0.51,-998,-998
1897,7,20,74,48,0,-998,-998
1897,7,21,81,48,0,-998,-998
1897,7,22,86,62,0,-998,-998
1897,7,23,85,63,0.03,-998,-998
1897,7,24,74,61,0.24,-998,-998
1897,7,25,79,57,0,-998,-998
1897,7,26,85,65,0.07,-998,-998
1897,7,27,84,66,0.02,-998,-998
1897,7,28,90,70,0,-998,-998
1897,7,29,89,71,0,-998,-998
1897,7,30,80,66,0.05,-998,-998
1897,7,31,86,71,0,-998,-998
1897,8,1,80,64,0.05,-998,-998
1897,8,2,78,64,0.05,-998,-998
1897,8,3,71,58,0.81,-998,-998
1897,8,4,64,58,0.15,-998,-998
1897,8,5,77,63,0.23,-998,-998
1897,8,6,81,64,0.6,-998,-998
1897,8,7,82,61,0,-998,-998
1897,8,8,78,62,0.33,-998,-998
1897,8,9,77,59,0,-998,-998
1897,8,10,76,59,0,-998,-998
1897,8,11,79,59,0,-998,-998
1897,8,12,85,63,0,-998,-998
1897,8,13,86,68,0,-998,-998
1897,8,14,79,65,0,-998,-998
1897,8,15,73,57,0,-998,-998
1897,8,16,80,58,0,-998,-998
1897,8,17,76,54,0.25,-998,-998
1897,8,18,72,51,0.02,-998,-998
1897,8,19,72,56,0,-998,-998
1897,8,20,77,56,0,-998,-998
1897,8,21,75,54,0,-998,-998
1897,8,22,78,56,0,-998,-998
1897,8,23,77,59,0,-998,-998
1897,8,24,83,61,0,-998,-998
1897,8,25,87,67,0,-998,-998
1897,8,26,77,65,0,-998,-998
1897,8,27,81,57,0,-998,-998
1897,8,28,82,63,0.47,-998,-998
1897,8,29,74,59,0,-998,-998
1897,8,30,84,56,0,-998,-998
1897,8,31,86,59,0,-998,-998
1897,9,1,83,61,0,-998,-998
1897,9,2,85,67,0,-998,-998
1897,9,3,83,65,0,-998,-998
1897,9,4,84,63,0,-998,-998
1897,9,5,80,68,0,-998,-998
1897,9,6,84,65,0,-998,-998
1897,9,7,85,65,0,-998,-998
1897,9,8,83,65,0,-998,-998
1897,9,9,62,54,0,-998,-998
1897,9,10,68,52,0,-998,-998
1897,9,11,76,54,0.16,-998,-998
1897,9,12,79,57,0.06,-998,-998
1897,9,13,80,61,0.07,-998,-998
1897,9,14,74,55,0,-998,-998
1897,9,15,74,53,0.02,-998,-998
1897,9,16,48,42,0.52,-998,-998
1897,9,17,66,42,0,-998,-998
1897,9,18,72,58,0,-998,-998
1897,9,19,69,51,0,-998,-998
1897,9,20,75,50,0,-998,-998
1897,9,21,76,55,0,-998,-998
1897,9,22,79,58,0,-998,-998
1897,9,23,78,60,0,-998,-998
1897,9,24,70,62,0,-998,-998
1897,9,25,74,58,0,-998,-998
1897,9,26,75,57,0,-998,-998
1897,9,27,78,60,0,-998,-998
1897,9,28,78,60,0,-998,-998
1897,9,29,75,59,0.03,-998,-998
1897,9,30,77,62,0,-998,-998
1897,10,1,75,58,0,-998,-998
1897,10,2,75,58,0,-998,-998
1897,10,3,70,53,0,-998,-998
1897,10,4,75,51,0,-998,-998
1897,10,5,67,50,0,-998,-998
1897,10,6,74,51,0,-998,-998
1897,10,7,75,51,0.08,-998,-998
1897,10,8,50,44,0.35,-998,-998
1897,10,9,55,39,0,-998,-998
1897,10,10,58,45,0.03,-998,-998
1897,10,11,71,43,0,-998,-998
1897,10,12,74,38,0,-998,-998
1897,10,13,77,58,0,-998,-998
1897,10,14,67,54,0,-998,-998
1897,10,15,57,43,0,-998,-998
1897,10,16,35,31,0.39,-998,-998
1897,10,17,43,30,0.04,-998,-998
1897,10,18,66,32,0,-998,-998
1897,10,19,64,41,0,-998,-998
1897,10,20,68,45,0,-998,-998
1897,10,21,70,43,0,-998,-998
1897,10,22,63,46,0,-998,-998
1897,10,23,71,45,0,-998,-998
1897,10,24,71,43,0,-998,-998
1897,10,25,59,40,0.05,-998,-998
1897,10,26,32,27,0.6,-998,-998
1897,10,27,38,24,0.12,-998,-998
1897,10,28,49,31,0,-998,-998
1897,10,29,61,38,0,-998,-998
1897,10,30,56,39,0,-998,-998
1897,10,31,55,38,0,-998,-998
1897,11,1,63,40,0,-998,-998
1897,11,2,67,43,0,-998,-998
1897,11,3,65,47,0,-998,-998
1897,11,4,37,31,0.09,-998,-998
1897,11,5,44,25,0,-998,-998
1897,11,6,46,29,0.02,-998,-998
1897,11,7,53,31,0,-998,-998
1897,11,8,43,27,0,-998,-998
1897,11,9,46,28,0,-998,-998
1897,11,10,60,40,0,-998,-998
1897,11,11,65,39,0,-998,-998
1897,11,12,71,52,0,-998,-998
1897,11,13,66,53,0,-998,-998
1897,11,14,64,46,0,-998,-998
1897,11,15,31,28,0.11,-998,-998
1897,11,16,40,19,0,-998,-998
1897,11,17,55,31,0,-998,-998
1897,11,18,64,40,0,-998,-998
1897,11,19,73,44,0,-998,-998
1897,11,20,71,54,0,-998,-998
1897,11,21,33,29,0,-998,-998
1897,11,22,48,28,0,-998,-998
1897,11,23,52,30,0,-998,-998
1897,11,24,63,35,0,-998,-998
1897,11,25,30,25,0.25,-998,-998
1897,11,26,30,17,0,-998,-998
1897,11,27,31,14,0,-998,-998
1897,11,28,26,14,0,-998,-998
1897,11,29,41,10,0,-998,-998
1897,11,30,55,30,0,-998,-998
1897,12,1,25,15,0.05,-998,-998
1897,12,2,13,5,0.1,-998,-998
1897,12,3,28,6,0,-998,-998
1897,12,4,48,18,0,-998,-998
1897,12,5,52,23,0,-998,-998
1897,12,6,50,19,0,-998,-998
1897,12,7,54,43,0,-998,-998
1897,12,8,65,42,0,-998,-998
1897,12,9,41,31,0.39,-998,-998
1897,12,10,43,24,0,-998,-998
1897,12,11,43,27,0,-998,-998
1897,12,12,40,26,0,-998,-998
1897,12,13,41,26,0,-998,-998
1897,12,14,54,24,0,-998,-998
1897,12,15,21,5,0.14,-998,-998
1897,12,16,12,-1,0,-998,-998
1897,12,17,16,1,0,-998,-998
1897,12,18,23,6,0,-998,-998
1897,12,19,23,11,0,-998,-998
1897,12,20,26,9,0,-998,-998
1897,12,21,27,8,0,-998,-998
1897,12,22,43,19,0,-998,-998
1897,12,23,47,34,0,-998,-998
1897,12,24,51,31,0,-998,-998
1897,12,25,46,28,0,-998,-998
1897,12,26,42,29,0,-998,-998
1897,12,27,47,25,0,-998,-998
1897,12,28,61,33,0,-998,-998
1897,12,29,58,44,0,-998,-998
1897,12,30,52,32,0,-998,-998
1897,12,31,36,14,0.02,-998,-998
1898,1,1,42,14,0,-998,-998
1898,1,2,67,31,0,-998,-998
1898,1,3,62,42,0,-998,-998
1898,1,4,43,33,0,-998,-998
1898,1,5,56,32,0,-998,-998
1898,1,6,48,32,0,-998,-998
1898,1,7,52,42,0,-998,-998
1898,1,8,47,19,0,-998,-998
1898,1,9,49,31,0,-998,-998
1898,1,10,35,25,0,-998,-998
1898,1,11,36,18,0,-998,-998
1898,1,12,37,17,0,-998,-998
1898,1,13,35,18,0,-998,-998
1898,1,14,35,22,0,-998,-998
1898,1,15,41,16,0,-998,-998
1898,1,16,42,19,0,-998,-998
1898,1,17,33,22,0,-998,-998
1898,1,18,35,20,0,-998,-998
1898,1,19,34,17,0,-998,-998
1898,1,20,33,21,0,-998,-998
1898,1,21,28,19,0.23,-998,-998
1898,1,22,34,13,0,-998,-998
1898,1,23,29,14,0,-998,-998
1898,1,24,20,12,0.2,-998,-998
1898,1,25,23,5,0,-998,-998
1898,1,26,30,5,0,-998,-998
1898,1,27,40,14,0,-998,-998
1898,1,28,34,21,0,-998,-998
1898,1,29,46,18,0,-998,-998
1898,1,30,49,32,0,-998,-998
1898,1,31,41,22,0,-998,-998
1898,2,1,39,25,0,-998,-998
1898,2,2,36,19,0.07,-998,-998
1898,2,3,52,19,0,-998,-998
1898,2,4,46,32,0,-998,-998
1898,2,5,48,22,0,-998,-998
1898,2,6,60,41,0,-998,-998
1898,2,7,57,43,0,-998,-998
1898,2,8,55,32,0,-998,-998
1898,2,9,37,29,0.42,-998,-998
1898,2,10,45,28,0,-998,-998
1898,2,11,44,31,0,-998,-998
1898,2,12,54,26,0,-998,-998
1898,2,13,52,31,0,-998,-998
1898,2,14,56,42,0,-998,-998
1898,2,15,54,30,0,-998,-998
1898,2,16,63,42,0,-998,-998
1898,2,17,32,28,0,-998,-998
1898,2,18,31,21,0.05,-998,-998
1898,2,19,43,24,0,-998,-998
1898,2,20,41,17,0,-998,-998
1898,2,21,53,26,0,-998,-998
1898,2,22,38,28,0.01,-998,-998
1898,2,23,45,24,0,-998,-998
1898,2,24,47,29,0,-998,-998
1898,2,25,60,34,0,-998,-998
1898,2,26,53,36,0,-998,-998
1898,2,27,51,33,0,-998,-998
1898,2,28,59,32,0,-998,-998
1898,2,29,-998,-998,-998,-998,-998
1898,3,1,45,34,0.08,-998,-998
1898,3,2,45,25,0,-998,-998
1898,3,3,46,27,0.23,-998,-998
1898,3,4,52,30,0,-998,-998
1898,3,5,43,29,0,-998,-998
1898,3,6,59,29,0,-998,-998
1898,3,7,56,39,0,-998,-998
1898,3,8,61,43,0.01,-998,-998
1898,3,9,41,27,0,-998,-998
1898,3,10,31,27,0.01,-998,-998
1898,3,11,39,23,0.07,-998,-998
1898,3,12,43,29,0,-998,-998
1898,3,13,58,32,0,-998,-998
1898,3,14,38,28,0,-998,-998
1898,3,15,41,27,0,-998,-998
1898,3,16,45,25,0,-998,-998
1898,3,17,43,19,0,-998,-998
1898,3,18,45,25,0,-998,-998
1898,3,19,46,25,0,-998,-998
1898,3,20,50,29,0,-998,-998
1898,3,21,55,21,0,-998,-998
1898,3,22,14,0,0.06,-998,-998
1898,3,23,41,3,0,-998,-998
1898,3,24,61,29,0,-998,-998
1898,3,25,62,28,0,-998,-998
1898,3,26,46,30,0,-998,-998
1898,3,27,35,11,0.21,-998,-998
1898,3,28,41,25,0,-998,-998
1898,3,29,36,24,0,-998,-998
1898,3,30,47,19,0,-998,-998
1898,3,31,50,28,0,-998,-998
1898,4,1,42,26,0.02,-998,-998
1898,4,2,60,24,0,-998,-998
1898,4,3,46,33,0.48,-998,-998
1898,4,4,40,29,0.2,-998,-998
1898,4,5,40,23,0.12,-998,-998
1898,4,6,43,23,0.12,-998,-998
1898,4,7,56,33,0.01,-998,-998
1898,4,8,61,37,0,-998,-998
1898,4,9,66,42,0,-998,-998
1898,4,10,63,38,0,-998,-998
1898,4,11,57,42,0,-998,-998
1898,4,12,47,25,0.37,-998,-998
1898,4,13,68,35,0,-998,-998
1898,4,14,74,49,0,-998,-998
1898,4,15,76,52,0,-998,-998
1898,4,16,72,52,0,-998,-998
1898,4,17,53,46,0.04,-998,-998
1898,4,18,65,33,0,-998,-998
1898,4,19,58,42,0,-998,-998
1898,4,20,65,41,0,-998,-998
1898,4,21,56,48,0.03,-998,-998
1898,4,22,66,44,0,-998,-998
1898,4,23,63,42,0,-998,-998
1898,4,24,61,41,0,-998,-998
1898,4,25,70,42,0,-998,-998
1898,4,26,78,44,0,-998,-998
1898,4,27,62,47,0,-998,-998
1898,4,28,65,40,0,-998,-998
1898,4,29,65,43,0.05,-998,-998
1898,4,30,57,41,0.1,-998,-998
1898,5,1,36,32,1.01,-998,-998
1898,5,2,35,28,0.16,-998,-998
1898,5,3,40,32,0.62,-998,-998
1898,5,4,40,33,0.41,-998,-998
1898,5,5,52,31,0.52,-998,-998
1898,5,6,59,32,0,-998,-998
1898,5,7,55,43,0.16,-998,-998
1898,5,8,67,42,0.22,-998,-998
1898,5,9,70,42,0.02,-998,-998
1898,5,10,65,50,0,-998,-998
1898,5,11,64,46,0,-998,-998
1898,5,12,65,45,0.06,-998,-998
1898,5,13,60,45,0,-998,-998
1898,5,14,60,45,0.01,-998,-998
1898,5,15,64,46,0,-998,-998
1898,5,16,60,46,0,-998,-998
1898,5,17,60,46,0,-998,-998
1898,5,18,64,45,0.08,-998,-998
1898,5,19,54,44,0.1,-998,-998
1898,5,20,61,45,0,-998,-998
1898,5,21,65,37,0,-998,-998
1898,5,22,75,37,0,-998,-998
1898,5,23,76,56,0,-998,-998
1898,5,24,82,54,0,-998,-998
1898,5,25,62,42,0.34,-998,-998
1898,5,26,69,51,0.05,-998,-998
1898,5,27,62,48,0,-998,-998
1898,5,28,70,52,0,-998,-998
1898,5,29,71,52,0,-998,-998
1898,5,30,77,49,0,-998,-998
1898,5,31,74,51,0,-998,-998
1898,6,1,80,51,0,-998,-998
1898,6,2,84,62,0,-998,-998
1898,6,3,62,50,0.02,-998,-998
1898,6,4,52,42,0.72,-998,-998
1898,6,5,68,43,0,-998,-998
1898,6,6,62,50,0,-998,-998
1898,6,7,70,50,0.04,-998,-998
1898,6,8,58,48,0.35,-998,-998
1898,6,9,71,49,0.1,-998,-998
1898,6,10,73,49,0,-998,-998
1898,6,11,73,51,0.04,-998,-998
1898,6,12,70,50,0,-998,-998
1898,6,13,79,58,0.01,-998,-998
1898,6,14,76,55,0,-998,-998
1898,6,15,79,55,0,-998,-998
1898,6,16,85,60,0,-998,-998
1898,6,17,83,65,0,-998,-998
1898,6,18,81,59,0,-998,-998
1898,6,19,83,63,0,-998,-998
1898,6,20,86,58,0,-998,-998
1898,6,21,84,57,0,-998,-998
1898,6,22,87,62,0.05,-998,-998
1898,6,23,84,65,0,-998,-998
1898,6,24,83,65,0,-998,-998
1898,6,25,85,68,0,-998,-998
1898,6,26,74,57,0,-998,-998
1898,6,27,85,57,0,-998,-998
1898,6,28,95,65,0,-998,-998
1898,6,29,78,61,0,-998,-998
1898,6,30,83,61,0,-998,-998
1898,7,1,71,65,0.12,-998,-998
1898,7,2,67,50,0.38,-998,-998
1898,7,3,76,54,0,-998,-998
1898,7,4,81,55,0,-998,-998
1898,7,5,84,66,0,-998,-998
1898,7,6,84,69,0,-998,-998
1898,7,7,87,65,0,-998,-998
1898,7,8,83,63,0.02,-998,-998
1898,7,9,83,60,0.03,-998,-998
1898,7,10,83,65,0.06,-998,-998
1898,7,11,85,62,0.12,-998,-998
1898,7,12,81,63,0.04,-998,-998
1898,7,13,81,63,0,-998,-998
1898,7,14,80,63,0,-998,-998
1898,7,15,79,62,0,-998,-998
1898,7,16,79,62,0,-998,-998
1898,7,17,88,66,0,-998,-998
1898,7,18,86,61,0,-998,-998
1898,7,19,87,71,0,-998,-998
1898,7,20,78,53,0.02,-998,-998
1898,7,21,88,59,0,-998,-998
1898,7,22,91,69,0,-998,-998
1898,7,23,86,67,0.05,-998,-998
1898,7,24,80,62,0.04,-998,-998
1898,7,25,84,62,0.09,-998,-998
1898,7,26,93,67,0,-998,-998
1898,7,27,90,70,0,-998,-998
1898,7,28,89,67,0,-998,-998
1898,7,29,74,60,0,-998,-998
1898,7,30,82,55,0,-998,-998
1898,7,31,69,55,0,-998,-998
1898,8,1,77,52,0,-998,-998
1898,8,2,77,54,0.02,-998,-998
1898,8,3,86,55,0,-998,-998
1898,8,4,91,71,0,-998,-998
1898,8,5,76,69,0.14,-998,-998
1898,8,6,72,53,0.42,-998,-998
1898,8,7,75,57,0,-998,-998
1898,8,8,82,54,0,-998,-998
1898,8,9,81,59,0,-998,-998
1898,8,10,81,61,0,-998,-998
1898,8,11,84,62,0,-998,-998
1898,8,12,92,65,0,-998,-998
1898,8,13,91,63,0.01,-998,-998
1898,8,14,87,64,0.15,-998,-998
1898,8,15,92,69,0,-998,-998
1898,8,16,78,66,0.01,-998,-998
1898,8,17,85,58,0.02,-998,-998
1898,8,18,85,60,0,-998,-998
1898,8,19,87,67,0,-998,-998
1898,8,20,88,68,0,-998,-998
1898,8,21,88,64,0,-998,-998
1898,8,22,85,60,0.07,-998,-998
1898,8,23,78,61,0.05,-998,-998
1898,8,24,81,59,0,-998,-998
1898,8,25,85,56,0,-998,-998
1898,8,26,85,67,0,-998,-998
1898,8,27,93,60,0,-998,-998
1898,8,28,86,63,0,-998,-998
1898,8,29,91,65,0,-998,-998
1898,8,30,87,66,0,-998,-998
1898,8,31,85,67,0.56,-998,-998
1898,9,1,83,59,0.28,-998,-998
1898,9,2,82,62,0,-998,-998
1898,9,3,87,53,0,-998,-998
1898,9,4,80,54,0,-998,-998
1898,9,5,81,61,0,-998,-998
1898,9,6,60,45,0,-998,-998
1898,9,7,68,45,0,-998,-998
1898,9,8,71,48,0,-998,-998
1898,9,9,46,40,0,-998,-998
1898,9,10,42,35,0.41,-998,-998
1898,9,11,47,34,0.21,-998,-998
1898,9,12,59,34,0.04,-998,-998
1898,9,13,68,35,0,-998,-998
1898,9,14,78,48,0,-998,-998
1898,9,15,82,56,0,-998,-998
1898,9,16,63,49,0.18,-998,-998
1898,9,17,76,51,0,-998,-998
1898,9,18,83,51,0,-998,-998
1898,9,19,80,55,0,-998,-998
1898,9,20,85,54,0,-998,-998
1898,9,21,83,54,0,-998,-998
1898,9,22,83,60,0,-998,-998
1898,9,23,83,67,0,-998,-998
1898,9,24,77,50,0,-998,-998
1898,9,25,84,55,0,-998,-998
1898,9,26,83,53,0,-998,-998
1898,9,27,84,58,0,-998,-998
1898,9,28,77,56,0,-998,-998
1898,9,29,73,51,0,-998,-998
1898,9,30,73,42,0,-998,-998
1898,10,1,81,43,0,-998,-998
1898,10,2,64,44,0,-998,-998
1898,10,3,56,42,0,-998,-998
1898,10,4,53,32,0,-998,-998
1898,10,5,54,34,0,-998,-998
1898,10,6,60,34,0,-998,-998
1898,10,7,62,39,0,-998,-998
1898,10,8,71,49,0,-998,-998
1898,10,9,70,48,0,-998,-998
1898,10,10,67,47,0,-998,-998
1898,10,11,70,43,0,-998,-998
1898,10,12,69,52,0,-998,-998
1898,10,13,64,40,0,-998,-998
1898,10,14,77,42,0,-998,-998
1898,10,15,57,41,0.22,-998,-998
1898,10,16,47,32,0.29,-998,-998
1898,10,17,53,30,0,-998,-998
1898,10,18,49,33,0,-998,-998
1898,10,19,49,32,0.37,-998,-998
1898,10,20,45,35,0,-998,-998
1898,10,21,56,30,0,-998,-998
1898,10,22,69,30,0,-998,-998
1898,10,23,67,52,0,-998,-998
1898,10,24,43,34,0.02,-998,-998
1898,10,25,47,27,0,-998,-998
1898,10,26,62,30,0,-998,-998
1898,10,27,60,36,0,-998,-998
1898,10,28,63,34,0,-998,-998
1898,10,29,54,35,0,-998,-998
1898,10,30,60,32,0,-998,-998
1898,10,31,73,47,0,-998,-998
1898,11,1,52,38,0,-998,-998
1898,11,2,61,34,0,-998,-998
1898,11,3,66,32,0,-998,-998
1898,11,4,63,45,0,-998,-998
1898,11,5,58,30,0,-998,-998
1898,11,6,70,29,0,-998,-998
1898,11,7,47,38,0,-998,-998
1898,11,8,28,22,0.75,-998,-998
1898,11,9,27,6,0,-998,-998
1898,11,10,38,13,0,-998,-998
1898,11,11,43,22,0,-998,-998
1898,11,12,37,20,0,-998,-998
1898,11,13,36,23,0,-998,-998
1898,11,14,42,24,0,-998,-998
1898,11,15,52,27,0,-998,-998
1898,11,16,50,33,0,-998,-998
1898,11,17,62,31,0,-998,-998
1898,11,18,50,35,0,-998,-998
1898,11,19,72,44,0,-998,-998
1898,11,20,60,16,0.28,-998,-998
1898,11,21,29,8,0,-998,-998
1898,11,22,31,10,0,-998,-998
1898,11,23,40,16,0,-998,-998
1898,11,24,41,21,0,-998,-998
1898,11,25,32,18,0.28,-998,-998
1898,11,26,46,25,0,-998,-998
